"X","leaid","year","total_schools.x","count_alt_school_schools","percent_alt","count_tracking_schools","percent_tracking","count_magnet_schools","percent_magnet","count_charter_schools","percent_charter"
6097,2000020,2011,1,NA,NA,1,1,NA,NA,NA,NA
6101,2000022,2011,1,1,1,NA,NA,NA,NA,NA,NA
6102,2000350,2011,2,NA,NA,2,1,NA,NA,NA,NA
6106,2000353,2011,1,NA,NA,1,1,NA,NA,NA,NA
6110,2003210,2011,1,NA,NA,1,1,NA,NA,NA,NA
6118,2003360,2011,1,1,1,NA,NA,NA,NA,NA,NA
6122,2003390,2011,2,NA,NA,2,1,NA,NA,NA,NA
6123,2003390,2013,2,NA,NA,NA,NA,2,1,NA,NA
6125,2003480,2011,1,NA,NA,NA,NA,1,1,NA,NA
6126,2003480,2013,1,NA,NA,NA,NA,1,1,NA,NA
6129,2003540,2011,1,1,1,NA,NA,NA,NA,NA,NA
6130,2003540,2013,1,1,1,NA,NA,NA,NA,NA,NA
6132,2003570,2011,1,NA,NA,1,1,NA,NA,NA,NA
6136,2003960,2011,2,NA,NA,1,0.5,NA,NA,NA,NA
6168,2005940,2011,1,NA,NA,NA,NA,NA,NA,1,1
6169,2005940,2013,1,NA,NA,NA,NA,NA,NA,1,1
6174,2006390,2015,1,1,1,NA,NA,NA,NA,NA,NA
6188,2006960,2011,3,NA,NA,NA,NA,NA,NA,2,0.666666666666667
6189,2006960,2013,3,NA,NA,NA,NA,NA,NA,1,0.333333333333333
6190,2006960,2015,1,NA,NA,NA,NA,NA,NA,1,1
6191,2006960,2017,1,NA,NA,NA,NA,NA,NA,1,1
6206,2008040,2011,1,NA,NA,1,1,NA,NA,NA,NA
6215,2008400,2013,1,NA,NA,NA,NA,NA,NA,1,1
6216,2008400,2015,1,NA,NA,NA,NA,NA,NA,1,1
6217,2008400,2017,1,NA,NA,NA,NA,NA,NA,1,1
6244,2010170,2011,1,NA,NA,1,1,NA,NA,NA,NA
6248,2010350,2011,1,NA,NA,NA,NA,NA,NA,1,1
6249,2010350,2013,1,NA,NA,NA,NA,NA,NA,1,1
6250,2010350,2015,1,NA,NA,NA,NA,NA,NA,1,1
6251,2010350,2017,1,NA,NA,NA,NA,NA,NA,1,1
6256,2011100,2011,1,NA,NA,1,1,NA,NA,NA,NA
6289,2012990,2011,4,NA,NA,NA,NA,2,0.5,NA,NA
6290,2012990,2013,5,NA,NA,NA,NA,2,0.4,NA,NA
6291,2012990,2015,5,NA,NA,NA,NA,2,0.4,NA,NA
6292,2012990,2017,5,NA,NA,NA,NA,2,0.4,NA,NA
6293,2013020,2011,1,NA,NA,1,1,NA,NA,NA,NA
6301,2100090,2011,1,NA,NA,1,1,NA,NA,NA,NA
6309,2100095,2011,1,NA,NA,1,1,NA,NA,NA,NA
6313,2100180,2011,1,NA,NA,1,1,NA,NA,NA,NA
6321,2100360,2015,1,1,1,NA,NA,NA,NA,NA,NA
6323,2100390,2011,6,NA,NA,4,0.666666666666667,NA,NA,NA,NA
6327,2100570,2011,1,1,1,NA,NA,NA,NA,NA,NA
6328,2100690,2011,1,1,1,NA,NA,NA,NA,NA,NA
6333,2101150,2013,2,1,0.5,NA,NA,NA,NA,NA,NA
6335,2101350,2011,1,1,1,1,1,NA,NA,NA,NA
6336,2101350,2013,1,1,1,NA,NA,NA,NA,NA,NA
6337,2101350,2015,1,1,1,NA,NA,NA,NA,NA,NA
6338,2101440,2011,1,1,1,NA,NA,NA,NA,NA,NA
6339,2101440,2013,1,1,1,NA,NA,NA,NA,NA,NA
6340,2101470,2011,1,1,1,NA,NA,NA,NA,NA,NA
6341,2101470,2013,1,1,1,NA,NA,NA,NA,NA,NA
6344,2101590,2011,1,NA,NA,1,1,NA,NA,NA,NA
6363,2102490,2015,1,1,1,NA,NA,NA,NA,NA,NA
6364,2102540,2011,8,NA,NA,1,0.125,NA,NA,NA,NA
6372,2102710,2011,1,1,1,1,1,NA,NA,NA,NA
6373,2102860,2011,1,NA,NA,1,1,NA,NA,NA,NA
6381,2102990,2011,9,8,0.888888888888889,9,1,1,0.111111111111111,NA,NA
6382,2102990,2013,7,3,0.428571428571429,NA,NA,1,0.142857142857143,NA,NA
6383,2102990,2015,6,2,0.333333333333333,NA,NA,1,0.166666666666667,NA,NA
6384,2102990,2017,7,3,0.428571428571429,NA,NA,1,0.142857142857143,NA,NA
6389,2103090,2011,2,1,0.5,1,0.5,NA,NA,NA,NA
6397,2103150,2011,1,NA,NA,1,1,NA,NA,NA,NA
6427,2104770,2015,10,1,0.1,NA,NA,NA,NA,NA,NA
6429,2104800,2011,8,NA,NA,3,0.375,NA,NA,NA,NA
6439,2105220,2011,1,NA,NA,1,1,NA,NA,NA,NA
6451,2105730,2011,1,1,1,NA,NA,NA,NA,NA,NA
6455,2105820,2011,5,NA,NA,2,0.4,NA,NA,NA,NA
6464,2200018,2011,2,NA,NA,2,1,NA,NA,NA,NA
6471,2200022,2011,1,NA,NA,1,1,NA,NA,NA,NA
6482,2200032,2011,1,NA,NA,NA,NA,NA,NA,1,1
6483,2200032,2013,1,NA,NA,NA,NA,NA,NA,1,1
6484,2200032,2015,1,NA,NA,NA,NA,NA,NA,1,1
6485,2200032,2017,1,NA,NA,NA,NA,NA,NA,1,1
6486,2200033,2011,1,NA,NA,NA,NA,NA,NA,1,1
6487,2200033,2013,1,NA,NA,NA,NA,NA,NA,1,1
6488,2200033,2015,1,NA,NA,NA,NA,NA,NA,1,1
6489,2200033,2017,1,NA,NA,NA,NA,NA,NA,1,1
6490,2200035,2011,1,NA,NA,1,1,NA,NA,1,1
6491,2200035,2013,1,NA,NA,NA,NA,NA,NA,1,1
6492,2200035,2015,1,NA,NA,NA,NA,NA,NA,1,1
6493,2200035,2017,1,NA,NA,NA,NA,NA,NA,1,1
6494,2200038,2011,1,NA,NA,NA,NA,NA,NA,1,1
6495,2200038,2013,1,NA,NA,NA,NA,NA,NA,1,1
6496,2200038,2015,1,NA,NA,NA,NA,NA,NA,1,1
6497,2200038,2017,1,NA,NA,NA,NA,NA,NA,1,1
6498,2200039,2011,1,1,1,NA,NA,NA,NA,NA,NA
6499,2200040,2015,1,NA,NA,NA,NA,1,1,NA,NA
6500,2200040,2017,1,NA,NA,NA,NA,1,1,NA,NA
6501,2200041,2011,1,NA,NA,NA,NA,NA,NA,1,1
6502,2200041,2013,1,NA,NA,NA,NA,NA,NA,1,1
6503,2200041,2015,1,NA,NA,NA,NA,NA,NA,1,1
6504,2200041,2017,1,NA,NA,NA,NA,NA,NA,1,1
6505,2200042,2011,1,NA,NA,NA,NA,NA,NA,1,1
6506,2200042,2013,1,NA,NA,NA,NA,NA,NA,1,1
6507,2200042,2015,1,NA,NA,NA,NA,NA,NA,1,1
6508,2200043,2011,3,NA,NA,NA,NA,NA,NA,3,1
6509,2200043,2013,3,NA,NA,NA,NA,NA,NA,3,1
6510,2200045,2011,1,NA,NA,1,1,NA,NA,1,1
6511,2200045,2013,1,NA,NA,NA,NA,NA,NA,1,1
6512,2200046,2011,3,NA,NA,2,0.666666666666667,NA,NA,3,1
6513,2200046,2013,4,NA,NA,NA,NA,NA,NA,4,1
6514,2200047,2017,1,1,1,NA,NA,NA,NA,NA,NA
6515,2200048,2011,1,NA,NA,NA,NA,NA,NA,1,1
6516,2200048,2013,1,NA,NA,NA,NA,NA,NA,1,1
6517,2200049,2011,1,NA,NA,NA,NA,NA,NA,1,1
6518,2200049,2013,1,NA,NA,NA,NA,NA,NA,1,1
6519,2200050,2011,1,NA,NA,NA,NA,NA,NA,1,1
6520,2200051,2011,1,NA,NA,NA,NA,NA,NA,1,1
6521,2200051,2013,3,NA,NA,NA,NA,NA,NA,3,1
6522,2200053,2011,4,NA,NA,1,0.25,NA,NA,4,1
6523,2200053,2013,4,NA,NA,NA,NA,NA,NA,4,1
6524,2200054,2011,8,NA,NA,8,1,NA,NA,NA,NA
6538,2200126,2011,1,NA,NA,1,1,NA,NA,1,1
6539,2200126,2013,1,1,1,NA,NA,NA,NA,1,1
6540,2200126,2015,1,NA,NA,NA,NA,NA,NA,1,1
6541,2200126,2017,1,NA,NA,NA,NA,NA,NA,1,1
