"","vars","n","mean","sd","min","max","range","se"
"lr_se_all_ols_all",46,53535,0.0128393074680705,0.00428647115389777,0.0080912380790061,0.0282528720113222,0.0201616339323161,1.85259719413699e-05
"achiev_all_bayes_all",47,55948,0.00102680813892745,0.340330227447455,-2.11293897719294,1.24730706052423,3.36024603771717,0.00143882588015078
"lr_all_bayes_all",48,53535,0.00264268397695173,0.0402642201980312,-0.185700571726766,0.227394032151774,0.41309460387854,0.000174020490713339
"achiev_se_all_bayes_all",49,55948,0.0204575148968983,0.0103971237733323,0.0118194109673462,0.122752553729115,0.110933142761768,4.39562799825387e-05
"lr_se_all_bayes_all",50,53535,0.0121088073656847,0.00348609618729055,0.0079506842222626,0.0235791291877199,0.0156284449654573,1.50667805362307e-05
"achiev_math_ols_black",51,28836,-0.391336565611192,0.281039056711982,-1.6609896016828,0.915583671396126,2.57657327307893,0.00165500446840938
"lr_math_ols_black",52,16128,-0.00751733044747451,0.0486220528615654,-0.230295049432222,0.150408116311999,0.38070316574422,0.000382862678884341
"achiev_ela_ols_black",53,28918,-0.31989487027762,0.280921261630494,-1.57839121518575,0.804915587679581,2.38330680286533,0.00165196363732743
"lr_ela_ols_black",54,13161,-0.0109345844054707,0.0384780729569583,-0.184845778672497,0.128493683975652,0.313339462648149,0.000335404487728392
"achiev_se_math_ols_black",55,28836,0.0565663935803697,0.0397701148428292,0.0146904407013571,0.237711444253702,0.223021003552344,0.000234201319005602
"lr_se_math_ols_black",56,16128,0.0199854330307323,0.00692266497819877,0.0100711461149802,0.0342583587188482,0.024187212603868,5.45108629230069e-05
"achiev_se_ela_ols_black",57,28918,0.0542760121492465,0.0384725998016572,0.0146030081900931,0.223778669460481,0.209175661270388,0.000226238966523599
"lr_se_ela_ols_black",58,13161,0.0165150759058285,0.00447788949313247,0.0099889008541408,0.0260615275141899,0.0160726266600491,3.90327299713912e-05
"achiev_math_bayes_black",59,28836,-0.392592217075936,0.267428353705899,-1.39897454438037,0.780914328065177,2.17988887244555,0.00157485271101025
"lr_math_bayes_black",60,16128,-0.0066685855245629,0.0420771837813381,-0.18842266295326,0.133877540162001,0.322300203115262,0.000331326679033872
"achiev_ela_bayes_black",61,28918,-0.321967889369691,0.266494020748503,-1.34867294512639,0.790719059334942,2.13939200446133,0.00156712393104931
"lr_ela_bayes_black",62,13161,-0.011102615654466,0.0328983020374486,-0.150160481470207,0.0991800048688181,0.249340486339025,0.000286766911491313
"achiev_se_math_bayes_black",63,28836,0.0453361530583903,0.0236268123219592,0.0145567442933431,0.129571739091379,0.115014994798036,0.000139135394292138
