"leaid","ave_students_susp_in_sch","ave_students_susp_out_sch_single","ave_students_susp_out_sch_multiple","ave_students_arrested","ave_expulsions_no_ed_serv_white","ave_expulsions_no_ed_serv_black","ave_expulsions_no_ed_serv_hispanic","ave_expulsions_with_ed_serv_white","ave_expulsions_with_ed_serv_black","ave_expulsions_with_ed_serv_hispanic","ave_expulsions_zero_tolerance_white","ave_expulsions_zero_tolerance_black","ave_expulsions_zero_tolerance_hispanic","ave_percentage_students_susp_in_sch_white","ave_percentage_students_susp_in_sch_black","ave_percentage_students_susp_in_sch_hispanic"
1000200,22.037037037037,9.81481481481481,11.002849002849,0.475783475783476,0.00854700854700855,0.0683760683760684,0.0512820512820513,0.170940170940171,0.47008547008547,0.0683760683760684,0.0341880341880342,0.247863247863248,0.0170940170940171,0.00255584301538462,0.00731956887692308,0.00319008527179487
1000230,27.6604938271605,16.8765432098765,16.5308641975309,0.154320987654321,0.111111111111111,0.148148148148148,0,0.037037037037037,0.148148148148148,0.0740740740740741,0,0,0,0.00576126112407407,0.0115878644277778,0.00682324897962963
1000270,30.7083333333333,10.5833333333333,4.16666666666667,0.916666666666667,0.5,0.25,0,0,0,0,0,0,0,0.06047943875,0.13788485375,0.08895169375
1000680,18.568306010929,8.12021857923497,6.0327868852459,0.85792349726776,0.0819672131147541,0.0491803278688525,0.0327868852459016,0.885245901639344,0.819672131147541,0.278688524590164,0,0,0,0.00522970378852459,0.0148417479344262,0.00443851357213115
1000750,8.83333333333333,7.75,1.16666666666667,3,0.5,0.25,0,1.5,0,0,0.5,0,0,Inf,Inf,Inf
1000790,25.76,8.44,5.52,1.73333333333333,0,0,0,0.24,0.24,0,0,0,0,0.017195102488,0.03950162408,0.01941716128
1000810,19.9122807017544,11.7543859649123,8.92982456140351,0.175438596491228,0,0.105263157894737,0,0.210526315789474,0.315789473684211,0,0,0,0,0.026909122,0.0419698908421053,0.00527368026315789
1001080,28.8148148148148,10.8024691358025,6.8641975308642,0,0,0,0,0.407407407407407,0.444444444444444,0.148148148148148,0,0,0,0.016697354362963,0.0390930017037037,0.0209652375925926
1001240,10.5081967213115,12.1256830601093,12.2950819672131,0,0.0655737704918033,0,0,0,0.0983606557377049,0,0,0,0,0.00144776306557377,0.0060954779295082,0.00222876193442623
1001280,5.02083333333333,22.2708333333333,8.79166666666667,0.1875,0.125,0.375,0,0.0625,1.25,0,0,0,0,Inf,Inf,Inf
1001300,9.37614678899082,10.8623853211009,10.2262996941896,0.168195718654434,0,0,0,0.018348623853211,0.146788990825688,0.036697247706422,0,0,0,0.00078446458440367,0.00474885128165138,0.00139079665963303
1001530,18.4166666666667,10.75,11.1944444444444,0.208333333333333,0,0,0,0,0,0,0,0,0,0.0111946232833333,0.029342313,0.0107439737916667
1001620,20.9354838709677,8.19354838709677,4.34408602150538,0.172043010752688,0.193548387096774,0.32258064516129,0,1.2258064516129,1.09677419354839,0.0645161290322581,0,0,0,0.00992561875483871,0.0192856909548387,0.0145430412903226
1001680,11.8333333333333,9.25,2.25,0,0,0,0,0,0,0,0,0,0,Inf,Inf,Inf
1001850,37.5952380952381,11.547619047619,8.71428571428571,0.261904761904762,0.428571428571429,0,0.285714285714286,0.857142857142857,0.428571428571429,0,0.428571428571429,0,0.285714285714286,0.0381330500714286,0.0899819725714286,0.0272337608571429
1100001,0,14.6666666666667,11.6666666666667,0,0,4,0,0,0,0,0,0,0,NA,0,NA
1100003,0,12,2,2.66666666666667,0,0,0,0,2,0,0,2,0,NA,NA,NA
1100007,1.61111111111111,0.555555555555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0.00506638666666667,0
1100008,1.74358974358974,12.2564102564103,7.62393162393162,0.128205128205128,0,0.923076923076923,0.0512820512820513,0.0512820512820513,1.71794871794872,0,0,0.205128205128205,0.0512820512820513,0,0.00169242806923077,0
1100009,1.41666666666667,2,1.08333333333333,0,0,0,0,0,0,0,0,0,0,0.0054347825,0.0143514065,0.01734162
1100010,0,20,16,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
1100011,6.83333333333333,19.75,32.6666666666667,0,0,0,0,0,0.5,0,0,0,0,0,0.05445492,0.0666666666666667
1100012,2.11111111111111,2.33333333333333,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0.0270655266666667,0
1100013,2.16666666666667,15.6666666666667,8.08333333333333,0,0,1.5,0,0,0.5,0,0,1,0,NA,0.01282051,NA
1100014,9.77777777777778,14,12.6666666666667,0.222222222222222,0,0.333333333333333,0,0,2.5,0,0,0,0,NA,0.19771244,NA
1100015,8.33333333333333,14.5833333333333,5.16666666666667,0,0,0,0,0,0.5,0,0,1,0,0.166666666666667,0.0574005775,0.0296792325
1100016,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
1100017,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0.5,0.5,0,0,0,NA,NA,NA
1100018,0,31.6666666666667,15.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,NA
1100019,9,6.20833333333333,2.5,0,0,0.75,0,0,0.25,0,0,0,0,0.017249555875,0.06192526125,0.05646070125
1100022,0.75,24.1666666666667,17.9166666666667,0,0,4.5,0,0,2.75,0,0,0,0,0,0.00608108,0
